timestamp,user_id,application,event_type,mfa_method,ip_address,user_agent,country,session_id,risk_level,risk_reason,details,result,failure_reason,block_reason,admin_user
2025-10-12 13:36:41.263831,onelson,Confluence,MFA_SUCCESS,SMS,142.14.44.201,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",UK,d2f8369a-2f17-4ba4-abd3-41521b2a822c,Low,,MFA verification successful using SMS,SUCCESS,,,
2025-10-28 04:53:02.138566,perezantonio,GitHub,MFA_SUCCESS,Push Notification,49.34.170.167,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",JP,00d4ff5c-3055-4bef-80b9-1ede51e4d31a,Low,,MFA verification successful using Push Notification,SUCCESS,,,
2025-10-09 15:37:02.864708,jason76,Zoom,MFA_SUCCESS,SMS,222.174.234.21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",US,059d0287-273b-4b4e-875d-309a34657554,Low,,MFA verification successful using SMS,SUCCESS,,,
2025-10-11 22:49:45.162426,johnhoffman,G Suite,MFA_TIMEOUT,SMS,123.109.110.182,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",SG,25667d50-ea09-4f19-a960-e0fe41a25347,Low,,MFA verification timed out for SMS,TIMEOUT,,,
2025-11-03 14:23:38.914298,icox,Workday,LOGIN_SUCCESS,SMS,9.116.93.109,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",DE,437af011-2acf-4e59-98ac-51ee2b8ccb79,Low,,User login successful,SUCCESS,,,
2025-10-30 08:07:29.352327,hernandezernest,Azure Portal,MFA_SUCCESS,Hardware Token,132.16.214.132,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",DE,c0aa440b-abc8-4c1c-89e6-31ca2bf2e3e6,Low,,MFA verification successful using Hardware Token,SUCCESS,,,
2025-10-19 04:59:38.871860,jrice,Zoom,PASSWORD_RESET,Email,208.94.13.114,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",IN,7e2b01b5-6cff-45a3-a477-e4e4ad53b10b,Low,,Password reset initiated,PASSWORD_CHANGE,,,
2025-10-28 01:45:56.599385,maldonadoamanda,VPN Gateway,LOGIN_FAILED,SMS,122.184.173.235,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",JP,4520ac50-e1b9-419d-bf62-238bd9e4ea8a,Medium,Multiple login failures,User login failed,FAILURE,Account locked,,
2025-10-11 00:16:45.233961,amoore,Slack,LOGIN_SUCCESS,Backup Code,201.13.181.219,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",IN,ef06eb3f-7657-4f79-8661-8ce5312814c9,Low,,User login successful,SUCCESS,,,
2025-11-05 19:43:15.952271,williamrodriguez,Zoom,MFA_SUCCESS,Backup Code,140.186.245.162,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",DE,97574307-6534-4ce5-9f9b-4f54614bc63e,Low,,MFA verification successful using Backup Code,SUCCESS,,,
2025-10-12 06:00:21.384081,amberosborne,Salesforce,LOGIN_SUCCESS,SMS,8.2.87.173,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",AU,d95408a0-0404-4ca3-a3f6-609e4083a383,Low,,User login successful,SUCCESS,,,
2025-10-25 15:12:06.362921,xsmith,Workday,LOGIN_SUCCESS,Biometric,217.215.39.223,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",FR,3f49efdd-6312-449e-b1bb-b310db49a963,Low,,User login successful,SUCCESS,,,
2025-10-14 20:22:02.388396,nataliearroyo,AWS Console,PASSWORD_RESET,Email,95.26.119.184,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",FR,1e42748b-eac3-4faa-ac18-56f1e109b827,Low,,Password reset initiated,PASSWORD_CHANGE,,,
2025-11-01 03:29:54.272865,davidalvarez,Azure Portal,SUSPICIOUS_ACTIVITY,Backup Code,6.30.214.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",DE,76e7b25b-32ae-4ba8-9bcf-463b1e05b2ce,High,Suspicious IP,Suspicious login activity detected,BLOCKED,,Automated threat detection,
2025-10-23 11:53:12.456988,ibrandt,HR System,LOGIN_SUCCESS,SMS,182.111.212.91,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",UK,8c21e1ac-ea5a-4825-b183-2db5c7f0bec5,Low,,User login successful,SUCCESS,,,
2025-10-29 01:17:05.737547,pcarney,Finance Portal,LOGIN_SUCCESS,Backup Code,60.229.38.35,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",FR,92d35b82-9404-4914-b769-69f0accc6efa,Low,,User login successful,SUCCESS,,,
2025-10-11 07:05:04.875690,calebsmith,Confluence,LOGIN_FAILED,Hardware Token,2.225.128.170,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",CA,51e7dd4a-732b-48fe-9995-f4e0fcd7f09e,Medium,Multiple login failures,User login failed,FAILURE,Account locked,,
2025-10-07 21:08:20.654649,perezrebecca,G Suite,LOGIN_SUCCESS,TOTP,210.68.118.162,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",AU,66e1736b-bfe2-4395-849a-ced799d41d3b,Low,,User login successful,SUCCESS,,,
2025-10-23 02:09:14.662544,elizabeth38,Azure Portal,MFA_SUCCESS,Backup Code,94.64.61.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",BR,3af06c34-9609-4796-8fe8-3eeae0aac19a,Low,,MFA verification successful using Backup Code,SUCCESS,,,
2025-10-14 22:55:10.852290,maguirre,G Suite,MFA_RESET,Push Notification,91.150.87.180,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",AU,92f78f0e-2811-4369-8c7a-3a67f5677504,Low,,MFA settings updated: mfa reset,CONFIGURATION_CHANGE,,,system
2025-10-18 07:03:21.292600,uowens,Zoom,MFA_SUCCESS,Hardware Token,70.76.122.123,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",JP,ae2f18d5-ad7e-45a5-88c6-525a15fe070d,Low,,MFA verification successful using Hardware Token,SUCCESS,,,
2025-10-09 11:36:10.051208,lauren13,VPN Gateway,MFA_SUCCESS,TOTP,99.150.194.179,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",AU,e32cafcc-2221-43ea-9cfd-311dccafa276,Low,,MFA verification successful using TOTP,SUCCESS,,,
2025-10-11 20:53:34.514070,joshuawright,Zoom,LOGIN_SUCCESS,Backup Code,222.46.32.134,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",CA,a2fafc2a-a5e3-44c7-a8ab-dd2fb59c9830,Low,,User login successful,SUCCESS,,,
2025-10-31 21:44:15.658345,williamsyvette,Confluence,MFA_FAILED,TOTP,172.191.0.141,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",BR,5f825832-ca6d-401e-8e2b-fe1f97b7d103,Medium,Multiple MFA failures,MFA verification failed using TOTP,FAILURE,Invalid code,,
2025-11-04 10:56:45.219957,gabrieltucker,Workplace,LOGIN_SUCCESS,TOTP,100.230.170.147,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",DE,f8f5edab-8796-4f4a-8d87-c01438839c3f,Low,,User login successful,SUCCESS,,,
2025-11-03 17:43:13.907403,nicholasgalloway,Salesforce,LOGIN_SUCCESS,Email,123.163.219.109,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",CA,a8067c65-ebde-4e0d-9149-3136f378f86b,Low,,User login successful,SUCCESS,,,
2025-10-16 05:20:28.001431,smoore,Slack,LOGIN_FAILED,Biometric,112.239.140.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",US,ab43b6ca-d73f-4769-9008-84c0e2766012,Medium,Multiple login failures,User login failed,FAILURE,Invalid password,,
2025-10-25 00:58:17.313796,adkinsbrian,AWS Console,MFA_TIMEOUT,Hardware Token,138.19.96.185,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",CA,f11f8c5f-9a3d-4dea-84cb-46a27feb3d76,Low,,MFA verification timed out for Hardware Token,TIMEOUT,,,
2025-10-09 08:54:53.870657,yorkcasey,ServiceNow,LOGIN_SUCCESS,Backup Code,79.13.148.165,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",IN,0edf5a69-36a5-44f0-8988-501144e163a9,Low,,User login successful,SUCCESS,,,
2025-10-19 18:40:48.229017,bethwilliams,Finance Portal,MFA_SUCCESS,TOTP,84.63.103.79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",BR,42d69c95-ad83-4122-a264-c986bd7f21b7,Low,,MFA verification successful using TOTP,SUCCESS,,,
2025-11-04 16:57:00.620053,elizabethedwards,Jira,LOGIN_SUCCESS,Push Notification,121.12.9.233,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",DE,0a626c66-8aff-4ed5-a4c0-e324a84559d2,Low,,User login successful,SUCCESS,,,
2025-10-27 19:34:43.057912,stephen10,Salesforce,MFA_TIMEOUT,Push Notification,19.51.11.226,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",CA,d951d5ee-d64e-47fc-a3b5-f29ee2e544fc,Low,,MFA verification timed out for Push Notification,TIMEOUT,,,
2025-10-09 20:42:33.789090,williamanderson,Zoom,LOGIN_SUCCESS,Biometric,36.103.19.168,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",IN,cdb1bc3a-11d1-449c-95d4-5d671af4770e,Low,,User login successful,SUCCESS,,,
2025-11-03 01:02:10.468520,justin78,Jira,MFA_RESET,Backup Code,128.128.44.124,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",CA,b4537af5-043d-4ca2-b73e-0fedd71233d7,Low,,MFA settings updated: mfa reset,CONFIGURATION_CHANGE,,,admin@company.com
2025-10-27 16:49:23.424023,sarah12,Confluence,MFA_SUCCESS,Email,120.219.53.173,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",US,b95744b5-e90b-431b-aa11-33ae49d24bf7,Low,,MFA verification successful using Email,SUCCESS,,,
2025-10-29 22:30:06.044879,josephjacobs,ServiceNow,MFA_ENABLED,Push Notification,182.131.222.129,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",UK,a1b65625-781f-45b4-b8c8-57b25e9fb4a4,Low,,MFA settings updated: mfa enabled,CONFIGURATION_CHANGE,,,system
2025-10-28 06:57:34.557853,william40,AWS Console,MFA_FAILED,SMS,91.27.221.140,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",SG,6cddd422-704c-413b-bf79-b76ba034dccf,Low,,MFA verification failed using SMS,FAILURE,Too many attempts,,
2025-11-01 13:05:32.247653,smithkellie,Salesforce,MFA_DISABLED,SMS,144.195.224.7,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",CA,aeec03cc-056a-49b2-957e-85b06f0587cf,Low,,MFA settings updated: mfa disabled,CONFIGURATION_CHANGE,,,admin@company.com
2025-10-12 12:18:02.482502,barnold,GitHub,MFA_FAILED,TOTP,2.114.143.17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",US,dc151203-d454-4cfb-9309-465f1d88341a,Medium,Multiple MFA failures,MFA verification failed using TOTP,FAILURE,Too many attempts,,
2025-10-09 22:08:14.085311,amydavenport,VPN Gateway,LOGIN_SUCCESS,Email,137.122.94.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",JP,0e5e20e4-f3d1-4734-b29e-038728efdb5d,Low,,User login successful,SUCCESS,,,
2025-10-20 13:24:29.159787,parkerrachel,Azure Portal,LOGIN_FAILED,Biometric,160.163.104.206,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",UK,6289463d-b96e-43b4-968d-9f73fcba9912,Low,,User login failed,FAILURE,Invalid password,,
2025-11-03 15:11:14.657877,evelynestrada,ServiceNow,MFA_ENABLED,SMS,58.2.22.79,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",SG,65e5a073-6ce0-4e35-89d5-19fd1e0cd4c4,Low,,MFA settings updated: mfa enabled,CONFIGURATION_CHANGE,,,system
2025-11-05 21:07:27.562676,sarayoung,Office 365,MFA_BYPASS,Backup Code,106.213.52.221,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",AU,68f4e93d-d2d2-4269-8c15-58108e129db7,High,Administrative bypass,MFA bypassed by administrator,BYPASS,,,admin@company.com
2025-11-03 02:34:52.802487,whitesandra,Salesforce,LOGIN_FAILED,Biometric,189.44.193.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",US,a9eaa279-e761-401f-bf9e-4570903f0b01,Low,,User login failed,FAILURE,User not found,,
2025-10-31 17:34:15.480125,josephcobb,Workplace,MFA_FAILED,Hardware Token,66.122.118.194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",CA,c4f0c6a9-67e4-4183-8273-b8ac4db5c6f1,Low,,MFA verification failed using Hardware Token,FAILURE,Invalid code,,
2025-11-02 10:08:55.707468,jamessellers,AWS Console,MFA_FAILED,Biometric,46.144.236.174,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",US,5d360258-38b7-4969-87d5-25fd2c141c54,Medium,Multiple MFA failures,MFA verification failed using Biometric,FAILURE,Invalid code,,
2025-10-14 08:27:59.834358,raymondramirez,Jira,LOGIN_SUCCESS,TOTP,81.221.47.22,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",JP,4f41562d-8ed1-4c28-8b19-217d61de9d3c,Low,,User login successful,SUCCESS,,,
2025-10-18 04:47:12.766582,ifrazier,Azure Portal,PASSWORD_RESET,Email,33.196.53.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",SG,93fe8780-1c84-477b-881e-f01f3c4d605e,Low,,Password reset initiated,PASSWORD_CHANGE,,,
2025-10-11 03:00:27.820799,gregory40,Office 365,MFA_SUCCESS,TOTP,91.207.228.131,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",DE,a0eb8e2e-a801-4165-bb79-281a341bb6ca,Low,,MFA verification successful using TOTP,SUCCESS,,,
2025-10-18 00:51:22.993474,samuel81,Workplace,SUSPICIOUS_ACTIVITY,SMS,44.42.64.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",IN,09c19883-fc44-41f7-b201-b9e9ace08bb8,Critical,Multiple failed attempts,Suspicious login activity detected,BLOCKED,,Automated threat detection,
2025-10-15 07:21:42.735911,zsmith,AWS Console,MFA_FAILED,SMS,5.147.135.39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",AU,88f8e894-8e85-4d5c-bcef-82cc84d660b8,Low,,MFA verification failed using SMS,FAILURE,Device not recognized,,
2025-10-18 14:12:04.054857,rushsamantha,Slack,MFA_SUCCESS,Email,135.249.220.117,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",IN,9233273e-50fe-43a2-9a5e-729812338d9f,Low,,MFA verification successful using Email,SUCCESS,,,
2025-10-29 06:11:05.049732,william65,HR System,MFA_SUCCESS,Backup Code,50.236.3.200,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",AU,96a434d7-c316-4622-a8db-06d297646ce1,Low,,MFA verification successful using Backup Code,SUCCESS,,,
2025-10-24 07:08:19.142112,robertbentley,Azure Portal,MFA_FAILED,Email,139.35.67.145,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",CA,49913f6b-608c-4047-9103-6e5e10841de0,Low,,MFA verification failed using Email,FAILURE,Device not recognized,,
2025-10-26 03:07:56.662146,richard04,Office 365,MFA_SUCCESS,Email,59.131.73.146,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",AU,a742862b-deb2-4dd0-bd31-00c7a3b59f1e,Low,,MFA verification successful using Email,SUCCESS,,,
2025-10-31 05:42:28.880822,steven73,Zoom,LOGIN_FAILED,Hardware Token,10.183.14.82,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",SG,05b31c14-fd63-4e67-991d-faa40ef8c09a,Medium,Multiple login failures,User login failed,FAILURE,User not found,,
2025-10-27 10:20:03.131036,zachary95,Azure Portal,LOGIN_SUCCESS,Hardware Token,79.8.22.75,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",BR,e3654a8e-eefd-4169-b8d5-37382dba18bb,Low,,User login successful,SUCCESS,,,
2025-10-27 20:22:28.378084,lindsayhernandez,Workday,LOGIN_SUCCESS,SMS,94.104.162.64,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",IN,f033dba7-94fb-47cf-92f2-063c1cc3fb8e,Low,,User login successful,SUCCESS,,,
2025-10-26 00:04:44.138173,gibsonolivia,Jira,LOGIN_SUCCESS,Push Notification,152.147.26.109,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",US,6ec6cb93-0452-4cf9-8c0c-97f1c94052d8,Low,,User login successful,SUCCESS,,,
2025-10-22 11:54:47.622075,dylanwatts,Confluence,MFA_SUCCESS,TOTP,211.105.41.194,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",CA,c4e85573-fcc5-40ca-9a9b-3c5dac3150a5,Low,,MFA verification successful using TOTP,SUCCESS,,,
2025-10-31 00:25:27.694341,gregoryrubio,AWS Console,LOGIN_SUCCESS,Hardware Token,8.205.177.202,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",DE,243803ef-2dea-4c75-9633-298122dc70f0,Low,,User login successful,SUCCESS,,,
2025-10-24 09:17:37.818135,bryantlaurie,Salesforce,MFA_SUCCESS,Push Notification,148.78.156.20,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",AU,cc160664-f3c1-419c-9c6c-b6d2fee98560,Low,,MFA verification successful using Push Notification,SUCCESS,,,
2025-11-05 03:59:24.665085,usalazar,Confluence,MFA_SUCCESS,Biometric,221.167.220.59,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",SG,62936042-a311-439a-a9fa-a62265c35690,Low,,MFA verification successful using Biometric,SUCCESS,,,
