137.32.74.28 - - [30/Oct/2025:13:21:33] "GET /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 1675 "http://www.buttercupgames.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1835
138.153.53.26 - - [06/Nov/2025:10:07:32] "POST /oldlink?itemId=EST-19 HTTP 1.1" 404 2971 "http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 570
154.237.94.189 - - [19/Oct/2025:18:01:03] "GET /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 403 2878 "http://www.bing.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 696
152.14.56.161 - - [30/Oct/2025:15:56:04] "POST /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 4408 "http://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1183
157.50.106.246 - - [02/Nov/2025:18:03:34] "POST /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 4158 "http://www.google.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1540
10.82.169.93 - - [10/Oct/2025:08:30:47] "POST /cart.do?action=addtocart&itemId=EST-12&productId=WC-SH-G04 HTTP 1.1" 200 1697 "http://www.buttercupgames.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1108
56.149.19.72 - - [23/Oct/2025:17:21:08] "GET /category.screen?categoryId=SHOOTER HTTP 1.1" 200 4771 "http://www.buttercupgames.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 1136
137.103.84.223 - - [26/Oct/2025:18:26:28] "POST /product.screen?productId=MB-AG-G07 HTTP 1.1" 403 1078 "http://www.buttercupgames.com/cart/success.do" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 547
65.92.138.241 - - [17/Oct/2025:13:49:00] "POST /product.screen?productId=MB-AG-G07 HTTP 1.1" 200 2382 "http://www.google.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 368
214.56.241.70 - - [30/Oct/2025:20:01:03] "GET /product.screen?productId=SF-BVS-G01 HTTP 1.1" 200 2901 "http://www.buttercupgames.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 72
211.119.164.162 - - [05/Nov/2025:06:19:46] "GET /oldlink?itemId=EST-19 HTTP 1.1" 200 3191 "http://www.buttercupgames.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1024
183.35.11.110 - - [13/Oct/2025:05:07:45] "GET /cart.do?action=addtocart&itemId=EST-12&productId=WC-SH-G04 HTTP 1.1" 200 1742 "" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 949
91.131.16.186 - - [16/Oct/2025:11:57:09] "GET /cart.do?action=addtocart&itemId=EST-12&productId=WC-SH-G04 HTTP 1.1" 200 277 "http://www.buttercupgames.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1680
2.56.22.73 - - [19/Oct/2025:18:59:40] "GET /cart/success.do HTTP 1.1" 404 1728 "http://www.buttercupgames.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 849
158.69.67.166 - - [19/Oct/2025:21:35:30] "POST /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 2290 "http://www.bing.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 219
157.66.118.46 - - [12/Oct/2025:07:33:45] "GET /category.screen?categoryId=SHOOTER HTTP 1.1" 500 4939 "" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 1952
194.31.64.184 - - [30/Oct/2025:13:53:30] "POST /cart/success.do HTTP 1.1" 200 4946 "http://www.google.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 1004
107.116.90.190 - - [26/Oct/2025:22:09:20] "POST /oldlink?itemId=EST-19 HTTP 1.1" 500 1875 "http://www.buttercupgames.com/cart/success.do" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 381
205.211.43.133 - - [16/Oct/2025:22:48:11] "GET /product.screen?productId=MB-AG-G07 HTTP 1.1" 200 1145 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 446
117.201.240.153 - - [23/Oct/2025:06:21:26] "POST /oldlink?itemId=EST-19 HTTP 1.1" 200 4280 "http://www.buttercupgames.com/oldlink?itemId=EST-19" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1666
212.110.199.234 - - [27/Oct/2025:04:05:54] "GET /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 4964 "http://www.buttercupgames.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 182
2.17.235.84 - - [27/Oct/2025:09:11:18] "POST /cart/success.do HTTP 1.1" 200 1440 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 994
192.32.25.42 - - [01/Nov/2025:17:51:40] "GET /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 1339 "" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 1712
203.158.40.124 - - [03/Nov/2025:13:58:57] "GET /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 380 "http://www.bing.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 705
221.228.138.201 - - [06/Nov/2025:02:42:45] "POST /category.screen?categoryId=SHOOTER HTTP 1.1" 200 3626 "http://www.buttercupgames.com/cart/success.do" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1605
5.45.141.104 - - [17/Oct/2025:21:43:35] "GET /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 3022 "http://www.bing.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1036
180.177.12.55 - - [19/Oct/2025:20:26:53] "GET /product.screen?productId=MB-AG-G07 HTTP 1.1" 500 4482 "http://www.google.com" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 1946
123.15.57.127 - - [20/Oct/2025:16:32:48] "GET /product.screen?productId=SF-BVS-G01 HTTP 1.1" 503 3157 "http://www.bing.com" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 307
36.168.210.193 - - [24/Oct/2025:20:27:34] "POST /category.screen?categoryId=ACCESSORIES HTTP 1.1" 503 3573 "http://www.google.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 440
119.181.251.66 - - [04/Nov/2025:08:51:15] "POST /cart.do?action=addtocart&itemId=EST-12&productId=WC-SH-G04 HTTP 1.1" 200 4890 "http://www.buttercupgames.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 843
73.83.111.191 - - [31/Oct/2025:22:15:22] "POST /category.screen?categoryId=SHOOTER HTTP 1.1" 500 134 "http://www.buttercupgames.com/category.screen?categoryId=SHOOTER" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 1163
165.4.228.182 - - [30/Oct/2025:15:50:07] "GET /cart.do?action=addtocart&itemId=EST-12&productId=WC-SH-G04 HTTP 1.1" 200 757 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1990
192.67.216.144 - - [24/Oct/2025:19:26:49] "POST /cart/success.do HTTP 1.1" 200 2891 "http://www.buttercupgames.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1562
98.34.233.145 - - [15/Oct/2025:05:21:06] "GET /product.screen?productId=MB-AG-G07 HTTP 1.1" 200 857 "http://www.buttercupgames.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1418
108.248.205.87 - - [19/Oct/2025:15:00:16] "POST /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 3356 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-12&productId=WC-SH-G04" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1755
124.41.137.26 - - [02/Nov/2025:03:47:30] "POST /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 2358 "http://www.bing.com" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 1807
173.80.95.236 - - [02/Nov/2025:07:18:01] "GET /oldlink?itemId=EST-19 HTTP 1.1" 200 2526 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-12&productId=WC-SH-G04" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1055
112.26.173.184 - - [22/Oct/2025:00:25:20] "POST /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 3017 "http://www.buttercupgames.com/product.screen?productId=MB-AG-G07" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 167
14.64.50.79 - - [27/Oct/2025:16:43:03] "POST /cart.do?action=addtocart&itemId=EST-12&productId=WC-SH-G04 HTTP 1.1" 302 3378 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1951
35.135.151.175 - - [03/Nov/2025:21:14:45] "GET /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 4058 "http://www.buttercupgames.com/category.screen?categoryId=SHOOTER" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 1702
192.171.24.245 - - [11/Oct/2025:04:02:46] "POST /category.screen?categoryId=SHOOTER HTTP 1.1" 200 3230 "http://www.google.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 1344
76.95.144.233 - - [22/Oct/2025:18:46:10] "GET /category.screen?categoryId=SHOOTER HTTP 1.1" 200 3099 "http://www.bing.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1403
33.161.141.57 - - [01/Nov/2025:02:16:04] "GET /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 779 "http://www.google.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 820
67.149.71.92 - - [09/Oct/2025:02:27:41] "POST /category.screen?categoryId=SHOOTER HTTP 1.1" 200 4298 "http://www.buttercupgames.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1614
126.150.8.160 - - [26/Oct/2025:00:39:02] "GET /cart/success.do HTTP 1.1" 200 875 "http://www.google.com" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 447
84.145.179.13 - - [26/Oct/2025:13:27:45] "GET /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 2955 "http://www.buttercupgames.com/category.screen?categoryId=SHOOTER" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 489
43.87.17.98 - - [09/Oct/2025:07:04:29] "POST /category.screen?categoryId=SHOOTER HTTP 1.1" 404 662 "http://www.buttercupgames.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1318
15.23.208.4 - - [02/Nov/2025:13:14:55] "GET /product.screen?productId=MB-AG-G07 HTTP 1.1" 200 4451 "http://www.buttercupgames.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 949
131.56.26.6 - - [26/Oct/2025:22:15:16] "POST /product.screen?productId=MB-AG-G07 HTTP 1.1" 408 3434 "http://www.bing.com" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 601
116.122.15.205 - - [29/Oct/2025:13:32:41] "GET /oldlink?itemId=EST-19 HTTP 1.1" 200 4154 "http://www.bing.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 458
222.25.205.21 - - [15/Oct/2025:18:26:57] "GET /cart/success.do HTTP 1.1" 200 164 "http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-6" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 801
126.83.26.152 - - [20/Oct/2025:22:42:08] "GET /product.screen?productId=MB-AG-G07 HTTP 1.1" 200 3868 "http://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1911
205.30.43.6 - - [09/Oct/2025:09:51:10] "POST /category.screen?categoryId=SHOOTER HTTP 1.1" 200 735 "http://www.buttercupgames.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1489
189.44.52.112 - - [29/Oct/2025:10:41:49] "GET /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 288 "http://www.bing.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 980
150.13.29.120 - - [27/Oct/2025:19:21:54] "POST /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 3022 "http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-6" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 1538
167.223.158.17 - - [08/Oct/2025:05:58:29] "GET /product.screen?productId=SF-BVS-G01 HTTP 1.1" 200 4980 "http://www.google.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 332
175.19.102.172 - - [29/Oct/2025:09:57:12] "GET /category.screen?categoryId=SHOOTER HTTP 1.1" 200 2584 "http://www.buttercupgames.com/oldlink?itemId=EST-19" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1143
192.0.145.25 - - [04/Nov/2025:08:35:12] "POST /oldlink?itemId=EST-19 HTTP 1.1" 200 4454 "http://www.google.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 153
123.45.160.143 - - [30/Oct/2025:17:43:24] "POST /product.screen?productId=MB-AG-G07 HTTP 1.1" 200 3064 "http://www.bing.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 1029
144.209.179.57 - - [04/Nov/2025:18:17:44] "GET /oldlink?itemId=EST-19 HTTP 1.1" 200 3796 "http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 1858
97.159.15.149 - - [09/Oct/2025:16:18:56] "POST /category.screen?categoryId=SHOOTER HTTP 1.1" 200 737 "http://www.google.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 189
72.125.152.34 - - [21/Oct/2025:06:44:44] "GET /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 2343 "http://www.buttercupgames.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 369
42.245.188.62 - - [05/Nov/2025:06:58:51] "GET /product.screen?productId=MB-AG-G07 HTTP 1.1" 200 264 "http://www.buttercupgames.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1064
220.215.140.230 - - [13/Oct/2025:17:50:50] "POST /category.screen?categoryId=SHOOTER HTTP 1.1" 200 133 "http://www.buttercupgames.com" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 363
4.162.25.212 - - [10/Oct/2025:22:14:07] "POST /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 1321 "http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 1215
102.168.55.37 - - [21/Oct/2025:14:13:32] "GET /product.screen?productId=MB-AG-G07 HTTP 1.1" 503 503 "http://www.buttercupgames.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1636
74.116.221.53 - - [28/Oct/2025:00:08:43] "POST /category.screen?categoryId=SHOOTER HTTP 1.1" 302 259 "http://www.buttercupgames.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 1731
91.0.103.1 - - [07/Oct/2025:16:17:46] "POST /cart/success.do HTTP 1.1" 404 3546 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 749
13.21.135.65 - - [14/Oct/2025:19:18:08] "GET /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 4504 "http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1292
27.9.244.131 - - [11/Oct/2025:15:15:30] "POST /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 1529 "http://www.buttercupgames.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 507
99.148.117.76 - - [18/Oct/2025:22:40:06] "POST /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 4412 "http://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 526
146.253.152.24 - - [09/Oct/2025:21:29:02] "POST /cart/success.do HTTP 1.1" 200 3191 "http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 955
138.203.224.32 - - [16/Oct/2025:21:04:21] "POST /cart/success.do HTTP 1.1" 200 4903 "" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 1902
